iter	Passed	Remaining
0	169	84521
1	187	46659
2	218	36258
3	247	30736
4	277	27472
5	308	25394
6	404	28510
7	439	27017
8	472	25792
9	503	24689
10	534	23769
11	563	22897
12	595	22325
13	620	21536
14	651	21073
15	681	20618
16	717	20374
17	753	20166
18	782	19802
19	812	19499
20	827	18875
21	839	18243
22	829	17200
23	861	17077
24	905	17195
25	937	17092
26	971	17013
27	1003	16913228	1026	16679229	1060	16609330	1092	16533331	1119	16367332	1144	16194333	1176	16120334	1203	15994335	1228	15834336	1257	1573137	1286	15646
38	1318	15590
39	1344	15464
40	1377	15420
441	1412	15403442	1446	15378443	1478	15322444	1503	15201445	1532	15124446	1567	15106447	1597	15043448	1627	14975449	1656	14912550	1682	14809551	1714	14775552	1751	14774553	1781	14710554	1816	14699555	1846	14638556	1875	14576557	1907	14537558	1942	14518559	1971	14459660	2004	14422661	2033	14363662	2069	14353663	2107	14356664	2167	14505665	2255	14829
66	2297	14850
67	2333	14822668	2360	14743669	2364	14526770	2393	14461771	2445	14539772	2481	14513773	2510	14454774	2539	14387775	2570	14343776	2598	1427377	2601	14073
778	2659	14171779	2692	14134880	2723	14086881	2753	1403482	2761	13875
83	2791	13824
84	2821	13777
885	2871	13824886	2904	13788887	2935	13744888	2967	13704889	2994	13642990	3023	13590991	3053	13542992	3082	13491993	3111	13438994	3142	13397995	3176	13366996	3209	13336997	3243	13306998	3289	13324999	3327	133111100	3359	132721101	3391	132331102	3423	131941103	3436	130861104	3469	130511105	3499	13006106	3488	12812
107	3525	12794
108	3568	12801
109	3600	12765
110	3629	12718
111	3657	12672
112	3690	12638
113	3715	12581
114	3743	12532
115	3773	12490
116	3802	12447
117	3832	12405
118	3866	12377
119	3893	12330
120	3924	12292
121	3949	12236
122	3977	12191
123	4009	12157
1124	4047	121431125	4074	120951126	4101	120471127	4128	119981128	4155	11951129	4180	11899
130	4210	11860
131	4243	11829
132	4272	11788
133	4300	11746
134	4331	11711
135	4361	11674
136	4395	11645
137	4429	11619
138	4487	11654
139	4519	11620
140	4553	11593
141	4584	11558
142	4616	11526
143	4645	11484
144	4675	11447
145	4707	11413
146	4725	11347
147	4741	11277
148	4768	11233
149	4797	11194
150	4824	11151
151	4855	11116
152	4887	11085
153	4921	11057
154	4949	11017
155	4976	10974
156	5002	10930
